method,description,train_time,predict_time,true_positive,true_negative,false_positive,false_negative,sensitivity,specificity,precision,accuracy,error,f1,my_score1,my_score2,my_score3,confusion_matrix,confusion_matrix_percentage,roc_curve
GradientBoostingClassifier,An GradientBoost classifier,12406.206746816635,0.7757887840270996,218,211,39,32,0.872,0.844,0.8482490272373541,0.858,0.14200000000000002,0.8599605522682445,1.4764305309705337,6.931696124513689e-05,1.1084983051755548,"<a href=""./images/13e60956-5107-11ec-8b6e-34e6adc36e41.png""><img src=""./images/13e60956-5107-11ec-8b6e-34e6adc36e41.png"" width=200 height=200 /></a>","<a href=""./images/14066367-5107-11ec-bdd1-34e6adc36e41.png""><img src=""./images/14066367-5107-11ec-bdd1-34e6adc36e41.png"" width=200 height=200 /></a>","<a href=""./images/13bb988e-5107-11ec-bda8-34e6adc36e41.png""><img src=""./images/13bb988e-5107-11ec-bda8-34e6adc36e41.png"" width=200 height=200 /></a>"
EfficientNetB1,,226.4276990890503,42.06025409698486,200,221,29,50,0.8,0.884,0.8733624454148472,0.842,0.15800000000000003,0.8350730688935283,1.390384171393312,0.003688034071154465,0.019854208844482264,"<a href=""./images/e17cc279-510b-11ec-a7d0-34e6adc36e41.png""><img src=""./images/e17cc279-510b-11ec-a7d0-34e6adc36e41.png"" width=200 height=200 /></a>","<a href=""./images/e19be033-510b-11ec-a105-34e6adc36e41.png""><img src=""./images/e19be033-510b-11ec-a105-34e6adc36e41.png"" width=200 height=200 /></a>","<a href=""./images/e1ae55bb-510b-11ec-adc8-34e6adc36e41.png""><img src=""./images/e1ae55bb-510b-11ec-adc8-34e6adc36e41.png"" width=200 height=200 /></a>"
EfficientNetB4,,433.7749168872833,79.35364723205566,228,192,58,22,0.912,0.768,0.7972027972027972,0.84,0.16000000000000003,0.8507462686567164,1.3820934140486378,0.001961262017549492,0.010720947282597608,"<a href=""./images/b60f5128-510e-11ec-bac4-34e6adc36e41.png""><img src=""./images/b60f5128-510e-11ec-bac4-34e6adc36e41.png"" width=200 height=200 /></a>","<a href=""./images/b6309603-510e-11ec-80d3-34e6adc36e41.png""><img src=""./images/b6309603-510e-11ec-80d3-34e6adc36e41.png"" width=200 height=200 /></a>","<a href=""./images/b644aca2-510e-11ec-bbff-34e6adc36e41.png""><img src=""./images/b644aca2-510e-11ec-bbff-34e6adc36e41.png"" width=200 height=200 /></a>"
EfficientNetB2,,240.75616216659546,44.26878261566162,226,192,58,24,0.904,0.768,0.795774647887324,0.836,0.16400000000000003,0.8464419475655431,1.3633545361324795,0.003515764414702012,0.019120515576727986,"<a href=""./images/9268480b-510c-11ec-9457-34e6adc36e41.png""><img src=""./images/9268480b-510c-11ec-9457-34e6adc36e41.png"" width=200 height=200 /></a>","<a href=""./images/92895d8f-510c-11ec-a465-34e6adc36e41.png""><img src=""./images/92895d8f-510c-11ec-a465-34e6adc36e41.png"" width=200 height=200 /></a>","<a href=""./images/929c7148-510c-11ec-b5ed-34e6adc36e41.png""><img src=""./images/929c7148-510c-11ec-b5ed-34e6adc36e41.png"" width=200 height=200 /></a>"
EfficientNetB7,,1525.994723558426,251.52960920333862,184,233,17,66,0.736,0.932,0.9154228855721394,0.834,0.16600000000000004,0.8159645232815964,1.352134188752229,0.0005347099244084349,0.003244009823996363,"<a href=""./images/f9f0d383-5117-11ec-a861-34e6adc36e41.png""><img src=""./images/f9f0d383-5117-11ec-a861-34e6adc36e41.png"" width=200 height=200 /></a>","<a href=""./images/fa300f67-5117-11ec-9ced-34e6adc36e41.png""><img src=""./images/fa300f67-5117-11ec-9ced-34e6adc36e41.png"" width=200 height=200 /></a>","<a href=""./images/fa54f34c-5117-11ec-8825-34e6adc36e41.png""><img src=""./images/fa54f34c-5117-11ec-8825-34e6adc36e41.png"" width=200 height=200 /></a>"
EfficientNetB0,,160.69119358062744,31.371495485305786,220,196,54,30,0.88,0.784,0.8029197080291971,0.832,0.16800000000000004,0.8396946564885496,1.3449773942852896,0.005225517576775167,0.02676616602105747,"<a href=""./images/3c3d3eac-510b-11ec-ab7a-34e6adc36e41.png""><img src=""./images/3c3d3eac-510b-11ec-ab7a-34e6adc36e41.png"" width=200 height=200 /></a>","<a href=""./images/3c5aa5bd-510b-11ec-a478-34e6adc36e41.png""><img src=""./images/3c5aa5bd-510b-11ec-a478-34e6adc36e41.png"" width=200 height=200 /></a>","<a href=""./images/3c6d47a6-510b-11ec-a276-34e6adc36e41.png""><img src=""./images/3c6d47a6-510b-11ec-a276-34e6adc36e41.png"" width=200 height=200 /></a>"
EfficientNetB6,,1160.8096449375153,146.94618391990662,206,210,40,44,0.824,0.84,0.8373983739837398,0.832,0.16800000000000004,0.8306451612903225,1.3439005132816304,0.0007155739659063868,0.005652716791496047,"<a href=""./images/caabe180-5113-11ec-bc64-34e6adc36e41.png""><img src=""./images/caabe180-5113-11ec-bc64-34e6adc36e41.png"" width=200 height=200 /></a>","<a href=""./images/cacba8df-5113-11ec-a496-34e6adc36e41.png""><img src=""./images/cacba8df-5113-11ec-a496-34e6adc36e41.png"" width=200 height=200 /></a>","<a href=""./images/cade265d-5113-11ec-a203-34e6adc36e41.png""><img src=""./images/cade265d-5113-11ec-a203-34e6adc36e41.png"" width=200 height=200 /></a>"
AdaBoostClassifier,An AdaBoost classifier,2191.9708983898163,25.354084253311157,212,199,51,38,0.848,0.796,0.8060836501901141,0.822,0.17800000000000005,0.8265107212475633,1.3022614784517819,0.0003770628167804161,0.032598721097159084,"<a href=""./images/225b029b-50ea-11ec-8da0-34e6adc36e41.png""><img src=""./images/225b029b-50ea-11ec-8da0-34e6adc36e41.png"" width=200 height=200 /></a>","<a href=""./images/227b5148-50ea-11ec-8b55-34e6adc36e41.png""><img src=""./images/227b5148-50ea-11ec-8b55-34e6adc36e41.png"" width=200 height=200 /></a>","<a href=""./images/222c5d6e-50ea-11ec-9e41-34e6adc36e41.png""><img src=""./images/222c5d6e-50ea-11ec-9e41-34e6adc36e41.png"" width=200 height=200 /></a>"
EfficientNetB5,,612.223023891449,189.56523990631104,212,197,53,38,0.848,0.788,0.8,0.818,0.18200000000000005,0.8233009708737864,1.2865010348874426,0.0013447729646635486,0.004343100936019109,"<a href=""./images/9c42de0e-5110-11ec-a40c-34e6adc36e41.png""><img src=""./images/9c42de0e-5110-11ec-a40c-34e6adc36e41.png"" width=200 height=200 /></a>","<a href=""./images/9c99c8e5-5110-11ec-87fb-34e6adc36e41.png""><img src=""./images/9c99c8e5-5110-11ec-87fb-34e6adc36e41.png"" width=200 height=200 /></a>","<a href=""./images/9cc7a54f-5110-11ec-b8b0-34e6adc36e41.png""><img src=""./images/9cc7a54f-5110-11ec-b8b0-34e6adc36e41.png"" width=200 height=200 /></a>"
NonLinearSVM,Non Linear Support Vector Classification,240.091956615448,177.62564849853516,218,190,60,32,0.872,0.76,0.7841726618705036,0.816,0.18400000000000005,0.8257575757575759,1.2795743149354033,0.0034393387741855114,0.00464886452343838,"<a href=""./images/e72ceb6e-50e4-11ec-bbcf-34e6adc36e41.png""><img src=""./images/e72ceb6e-50e4-11ec-bbcf-34e6adc36e41.png"" width=200 height=200 /></a>","<a href=""./images/e74c4a3e-50e4-11ec-b9a6-34e6adc36e41.png""><img src=""./images/e74c4a3e-50e4-11ec-b9a6-34e6adc36e41.png"" width=200 height=200 /></a>","<a href=""./images/e6fb8ba4-50e4-11ec-978a-34e6adc36e41.png""><img src=""./images/e6fb8ba4-50e4-11ec-978a-34e6adc36e41.png"" width=200 height=200 /></a>"
LinearSVM,Linear Support Vector Classification,650.0855538845062,1.2924134731292725,205,200,50,45,0.82,0.8,0.803921568627451,0.81,0.18999999999999995,0.8118811881188118,1.2556485403958355,0.0012488836019621044,0.6281899755757221,"<a href=""./images/82493cd2-50e3-11ec-aace-34e6adc36e41.png""><img src=""./images/82493cd2-50e3-11ec-aace-34e6adc36e41.png"" width=200 height=200 /></a>","<a href=""./images/826c1d77-50e3-11ec-971c-34e6adc36e41.png""><img src=""./images/826c1d77-50e3-11ec-971c-34e6adc36e41.png"" width=200 height=200 /></a>","<a href=""./images/820f03d2-50e3-11ec-88bd-34e6adc36e41.png""><img src=""./images/820f03d2-50e3-11ec-88bd-34e6adc36e41.png"" width=200 height=200 /></a>"
EfficientNetB3,,322.3772683143616,60.30674457550049,235,167,83,15,0.94,0.668,0.7389937106918238,0.804,0.19599999999999995,0.8274647887323943,1.239035847068033,0.002566759105128665,0.013720932783835764,"<a href=""./images/7cdcf820-510d-11ec-9f1a-34e6adc36e41.png""><img src=""./images/7cdcf820-510d-11ec-9f1a-34e6adc36e41.png"" width=200 height=200 /></a>","<a href=""./images/7cfdc811-510d-11ec-9f6d-34e6adc36e41.png""><img src=""./images/7cfdc811-510d-11ec-9f6d-34e6adc36e41.png"" width=200 height=200 /></a>","<a href=""./images/7d10a600-510d-11ec-801c-34e6adc36e41.png""><img src=""./images/7d10a600-510d-11ec-801c-34e6adc36e41.png"" width=200 height=200 /></a>"
KNeighborsClassifier,Classifier implementing the k-nearest neighbors vote,0.3274211883544922,12.1827712059021,214,186,64,36,0.856,0.744,0.7697841726618705,0.8,0.19999999999999996,0.8106060606060607,1.2222814475692174,2.4757287843217837,0.06653708314027536,"<a href=""./images/fb29cabd-50e1-11ec-b9aa-34e6adc36e41.png""><img src=""./images/fb29cabd-50e1-11ec-b9aa-34e6adc36e41.png"" width=200 height=200 /></a>","<a href=""./images/fb483751-50e1-11ec-988f-34e6adc36e41.png""><img src=""./images/fb483751-50e1-11ec-988f-34e6adc36e41.png"" width=200 height=200 /></a>","<a href=""./images/fb03dde8-50e1-11ec-a95e-34e6adc36e41.png""><img src=""./images/fb03dde8-50e1-11ec-a95e-34e6adc36e41.png"" width=200 height=200 /></a>"
RealBoost,An RealBoost classifier,4803.794079780579,0.09740614891052246,207,188,62,43,0.828,0.752,0.7695167286245354,0.79,0.20999999999999996,0.7976878612716762,1.188986079688768,0.00016605371671304277,8.189296776371217,"<a href=""./images/c3dfeed9-50e1-11ec-adda-34e6adc36e41.png""><img src=""./images/c3dfeed9-50e1-11ec-adda-34e6adc36e41.png"" width=200 height=200 /></a>","<a href=""./images/c3fe29c6-50e1-11ec-bc53-34e6adc36e41.png""><img src=""./images/c3fe29c6-50e1-11ec-bc53-34e6adc36e41.png"" width=200 height=200 /></a>","<a href=""./images/c3b7616c-50e1-11ec-80f0-34e6adc36e41.png""><img src=""./images/c3b7616c-50e1-11ec-80f0-34e6adc36e41.png"" width=200 height=200 /></a>"
MobileNet,,101.47210097312927,18.90532398223877,208,163,87,42,0.832,0.652,0.7050847457627119,0.742,0.258,0.763302752293578,1.0623567499478663,0.007522291792260293,0.04037501568397812,"<a href=""./images/bdf60ab3-511a-11ec-9dd6-34e6adc36e41.png""><img src=""./images/bdf60ab3-511a-11ec-9dd6-34e6adc36e41.png"" width=200 height=200 /></a>","<a href=""./images/be1f953a-511a-11ec-9393-34e6adc36e41.png""><img src=""./images/be1f953a-511a-11ec-9393-34e6adc36e41.png"" width=200 height=200 /></a>","<a href=""./images/be3398d4-511a-11ec-b0c2-34e6adc36e41.png""><img src=""./images/be3398d4-511a-11ec-b0c2-34e6adc36e41.png"" width=200 height=200 /></a>"
DiscreteNBC,DiscreteNBC,625.1967387199402,273.2321925163269,217,146,104,33,0.868,0.584,0.67601246105919,0.726,0.274,0.7600700525394045,1.0303997760252563,0.0012157293943912933,0.0027817734269873296,"<a href=""./images/86311c65-50d6-11ec-aee6-34e6adc36e41.png""><img src=""./images/86311c65-50d6-11ec-aee6-34e6adc36e41.png"" width=200 height=200 /></a>","<a href=""./images/864e0183-50d6-11ec-9e52-34e6adc36e41.png""><img src=""./images/864e0183-50d6-11ec-9e52-34e6adc36e41.png"" width=200 height=200 /></a>","<a href=""./images/860d70ee-50d6-11ec-8a35-34e6adc36e41.png""><img src=""./images/860d70ee-50d6-11ec-8a35-34e6adc36e41.png"" width=200 height=200 /></a>"
DenseNet201,,539.8939516544342,98.90365529060364,230,127,123,20,0.92,0.508,0.6515580736543909,0.714,0.28600000000000003,0.7628524046434494,1.0104323593375135,0.001412967124943312,0.0077130860573555,"<a href=""./images/c46e958e-510a-11ec-98b0-34e6adc36e41.png""><img src=""./images/c46e958e-510a-11ec-98b0-34e6adc36e41.png"" width=200 height=200 /></a>","<a href=""./images/c490a731-510a-11ec-9c3e-34e6adc36e41.png""><img src=""./images/c490a731-510a-11ec-9c3e-34e6adc36e41.png"" width=200 height=200 /></a>","<a href=""./images/c4a35e4c-510a-11ec-8a6a-34e6adc36e41.png""><img src=""./images/c4a35e4c-510a-11ec-8a6a-34e6adc36e41.png"" width=200 height=200 /></a>"
MobileNetV2,,105.37607789039612,19.84855628013611,237,118,132,13,0.948,0.472,0.6422764227642277,0.71,0.29000000000000004,0.7657512116316639,1.0049308342991512,0.007266841079700631,0.03857969319400861,"<a href=""./images/0c7f8f08-511b-11ec-bb25-34e6adc36e41.png""><img src=""./images/0c7f8f08-511b-11ec-bb25-34e6adc36e41.png"" width=200 height=200 /></a>","<a href=""./images/0ca2511e-511b-11ec-a7b4-34e6adc36e41.png""><img src=""./images/0ca2511e-511b-11ec-a7b4-34e6adc36e41.png"" width=200 height=200 /></a>","<a href=""./images/0d8a2ca7-511b-11ec-b1ee-34e6adc36e41.png""><img src=""./images/0d8a2ca7-511b-11ec-b1ee-34e6adc36e41.png"" width=200 height=200 /></a>"
DenseNet169,,419.4979567527771,76.5026695728302,166,185,65,84,0.664,0.74,0.7186147186147186,0.702,0.29800000000000004,0.6902286902286903,0.9631462867744747,0.0016453684198406311,0.00902228241292411,"<a href=""./images/3ffdd245-5109-11ec-8bce-34e6adc36e41.png""><img src=""./images/3ffdd245-5109-11ec-8bce-34e6adc36e41.png"" width=200 height=200 /></a>","<a href=""./images/401aede3-5109-11ec-9e26-34e6adc36e41.png""><img src=""./images/401aede3-5109-11ec-9e26-34e6adc36e41.png"" width=200 height=200 /></a>","<a href=""./images/402c3ad2-5109-11ec-906b-34e6adc36e41.png""><img src=""./images/402c3ad2-5109-11ec-906b-34e6adc36e41.png"" width=200 height=200 /></a>"
GaussianNBC,Gaussian Naive Bayes (GaussianNB),10.640780448913574,4.688637971878052,206,133,117,44,0.824,0.532,0.6377708978328174,0.678,0.32199999999999995,0.719022687609075,0.9372474397989994,0.06757236379992101,0.1533542772808854,"<a href=""./images/e37142c3-50e1-11ec-8250-34e6adc36e41.png""><img src=""./images/e37142c3-50e1-11ec-8250-34e6adc36e41.png"" width=200 height=200 /></a>","<a href=""./images/e38f791e-50e1-11ec-88a0-34e6adc36e41.png""><img src=""./images/e38f791e-50e1-11ec-88a0-34e6adc36e41.png"" width=200 height=200 /></a>","<a href=""./images/e34a2600-50e1-11ec-8cc3-34e6adc36e41.png""><img src=""./images/e34a2600-50e1-11ec-8cc3-34e6adc36e41.png"" width=200 height=200 /></a>"
MultinomialNBC,Naive Bayes classifier for multinomial models,6.94049072265625,0.8525350093841553,200,122,128,50,0.8,0.488,0.6097560975609756,0.644,0.356,0.6920415224913495,0.8810952474062668,0.09971074815103173,0.8117455762799216,"<a href=""./images/ea94a797-50e1-11ec-9e6d-34e6adc36e41.png""><img src=""./images/ea94a797-50e1-11ec-9e6d-34e6adc36e41.png"" width=200 height=200 /></a>","<a href=""./images/eab35d3a-50e1-11ec-8350-34e6adc36e41.png""><img src=""./images/eab35d3a-50e1-11ec-8350-34e6adc36e41.png"" width=200 height=200 /></a>","<a href=""./images/ea7047c4-50e1-11ec-a8e8-34e6adc36e41.png""><img src=""./images/ea7047c4-50e1-11ec-a8e8-34e6adc36e41.png"" width=200 height=200 /></a>"
ComplementNBC,The Complement Naive Bayes classifier described in Rennie et al,6.865841627120972,0.8961398601531982,200,122,128,50,0.8,0.488,0.6097560975609756,0.644,0.356,0.6920415224913495,0.8810952474062668,0.10079485663603062,0.7722472275399541,"<a href=""./images/d54924cc-50e1-11ec-9772-34e6adc36e41.png""><img src=""./images/d54924cc-50e1-11ec-9772-34e6adc36e41.png"" width=200 height=200 /></a>","<a href=""./images/d56765ac-50e1-11ec-a1c5-34e6adc36e41.png""><img src=""./images/d56765ac-50e1-11ec-a1c5-34e6adc36e41.png"" width=200 height=200 /></a>","<a href=""./images/d5248ebc-50e1-11ec-b8f1-34e6adc36e41.png""><img src=""./images/d5248ebc-50e1-11ec-b8f1-34e6adc36e41.png"" width=200 height=200 /></a>"
DenseNet121,,347.9126994609833,64.07139706611633,109,228,22,141,0.436,0.912,0.8320610687022901,0.674,0.32599999999999996,0.5721784776902887,0.8782438119730422,0.0016446035990544685,0.008930326228095952,"<a href=""./images/10711d3d-5108-11ec-be58-34e6adc36e41.png""><img src=""./images/10711d3d-5108-11ec-be58-34e6adc36e41.png"" width=200 height=200 /></a>","<a href=""./images/1091cfc6-5108-11ec-aac5-34e6adc36e41.png""><img src=""./images/1091cfc6-5108-11ec-aac5-34e6adc36e41.png"" width=200 height=200 /></a>","<a href=""./images/10a4adba-5108-11ec-ad21-34e6adc36e41.png""><img src=""./images/10a4adba-5108-11ec-ad21-34e6adc36e41.png"" width=200 height=200 /></a>"
InceptionResNetV2,,615.1250183582306,103.36595106124878,173,149,101,77,0.692,0.596,0.6313868613138686,0.644,0.356,0.6603053435114503,0.8673902342916064,0.0010734490124849842,0.0063880352933645525,"<a href=""./images/c37c2dfa-5119-11ec-92a1-34e6adc36e41.png""><img src=""./images/c37c2dfa-5119-11ec-92a1-34e6adc36e41.png"" width=200 height=200 /></a>","<a href=""./images/c39c1876-5119-11ec-9a57-34e6adc36e41.png""><img src=""./images/c39c1876-5119-11ec-9a57-34e6adc36e41.png"" width=200 height=200 /></a>","<a href=""./images/c3b0715d-5119-11ec-b1d8-34e6adc36e41.png""><img src=""./images/c3b0715d-5119-11ec-b1d8-34e6adc36e41.png"" width=200 height=200 /></a>"
InceptionV3,,237.6812241077423,47.259721755981445,247,22,228,3,0.988,0.088,0.52,0.538,0.46199999999999997,0.6813793103448276,0.7705398716226303,0.002866778025494998,0.014417759669915715,"<a href=""./images/72f6bbe6-511a-11ec-8aa8-34e6adc36e41.png""><img src=""./images/72f6bbe6-511a-11ec-8aa8-34e6adc36e41.png"" width=200 height=200 /></a>","<a href=""./images/7314757c-511a-11ec-bba5-34e6adc36e41.png""><img src=""./images/7314757c-511a-11ec-bba5-34e6adc36e41.png"" width=200 height=200 /></a>","<a href=""./images/73268783-511a-11ec-aaf8-34e6adc36e41.png""><img src=""./images/73268783-511a-11ec-aaf8-34e6adc36e41.png"" width=200 height=200 /></a>"
BernoulliNBC,Naive Bayes classifier for multivariate Bernoulli models,8.767533779144287,1.4847476482391357,209,67,183,41,0.836,0.268,0.5331632653061225,0.552,0.44799999999999995,0.6510903426791277,0.7676757835844618,0.07426151516266803,0.4385191944579272,"<a href=""./images/ce2efefe-50e1-11ec-819f-34e6adc36e41.png""><img src=""./images/ce2efefe-50e1-11ec-819f-34e6adc36e41.png"" width=200 height=200 /></a>","<a href=""./images/ce4ffe4c-50e1-11ec-a932-34e6adc36e41.png""><img src=""./images/ce4ffe4c-50e1-11ec-a932-34e6adc36e41.png"" width=200 height=200 /></a>","<a href=""./images/cdfd58ec-50e1-11ec-8569-34e6adc36e41.png""><img src=""./images/cdfd58ec-50e1-11ec-8569-34e6adc36e41.png"" width=200 height=200 /></a>"
